iter	Passed	Remaining
402	13668	20247
403	13702	20214
404	13734	20177
405	13768	20144
406	13801	20109
407	13831	20068
408	13864	20033
409	13897	19998
410	13931	19964
411	13964	19929
412	13996	19893
413	14030	19859
414	14060	19820
415	14091	19781
416	14122	19744
417	14154	19708
418	14194	19683
419	14228	19649
420	14260	19612
421	14291	19574
422	14322	19537
423	14356	19502
424	14390	19469
425	14421	19432
426	14457	19400
427	14489	19364
428	14520	19326
429	14552	19290
430	14586	19257
431	14622	19225
432	14654	19189
433	14686	19153
434	14718	19116
435	14748	19078
436	14781	19043
437	14817	19013
438	14851	18978
439	14883	18942
440	14916	18907
441	14948	18871
442	14980	18835
443	15014	18801
444	15050	18771
445	15084	18737
446	15118	18703
447	15148	18664
448	15180	18629
449	15212	18593
450	15245	18557
451	15279	18524
452	15313	18490
453	15354	18466
454	15390	18434
455	15425	18402
456	15459	18368
457	15493	18334
458	15530	18305
459	15564	18270
460	15598	18237
461	15630	18201
462	15661	18164
463	15693	18128
464	15726	18093
465	15760	18060
466	15793	18025
467	15825	17990
468	15859	17956
469	15893	17922
470	15928	17889
471	15962	17855
472	15995	17821
473	16025	17784
474	16055	17745
475	16089	17712
476	16126	17681
477	16160	17647
478	16192	17612
479	16225	17577
480	16256	17540
481	16286	17502
482	16321	17470
483	16356	17437
484	16390	17404
485	16430	17377
486	16470	17350
487	16502	17314
488	16535	17279
489	16570	17246
490	16604	17213
491	16637	17178
492	16670	17143
493	16702	17107
494	16735	17073
495	16743	17013
496	16749	16951
497	16781	16916
498	16816	16884
499	16851	16851
500	16883	16816
501	16915	16780
502	16958	16756
503	17021	16751
504	17060	16722
505	17103	16698
506	17139	16666
507	17174	16633
508	17210	16601
509	17245	16568
510	17279	16535
511	17317	16505
512	17351	16471
513	17383	16436
514	17416	16401
515	17450	16368
516	17485	16335
517	17521	16303
518	17556	16270
519	17588	16235
520	17618	16198
521	17652	16164
522	17687	16131
523	17720	16097
524	17753	16062
525	17785	16026
526	17817	15991
527	17850	15957
528	17888	15927
529	17923	15894
530	17953	15857
531	17958	15797
532	17990	15763
533	18021	15726
534	18052	15690
535	18084	15654
536	18117	15621
537	18152	15588
538	18185	15553
539	18217	15518
540	18250	15484
541	18284	15451
542	18315	15414
543	18348	15380
544	18385	15349
545	18426	15321
546	18462	15289
547	18492	15252
548	18524	15217
549	18559	15185
550	18596	15153
551	18628	15119
552	18660	15083
553	18694	15049
554	18726	15014
555	18760	14981
556	18794	14947
557	18829	14915
558	18863	14881
559	18896	14846
560	18928	14812
561	18959	14776
562	18995	14744
563	19031	14712
564	19067	14680
565	19103	14647
566	19137	14614
567	19172	14581
568	19209	14550
569	19211	14492
570	19244	14458
571	19275	14422
572	19308	14388
573	19340	14353
574	19372	14318
575	19408	14287
576	19442	14253
577	19475	14218
578	19505	14182
579	19536	14146
580	19570	14113
581	19603	14079
582	19636	14045
583	19671	14012
584	19702	13977
585	19733	13941
586	19768	13908
587	19798	13872
588	19835	13840
589	19867	13806
590	19901	13772
591	19934	13738
592	19964	13702
593	19996	13667
594	20027	13632
595	20061	13599
596	20097	13566
597	20132	13534
598	20164	13498
599	20195	13463
600	20227	13429
601	20260	13395
602	20295	13361
603	20326	13326
604	20360	13293
605	20393	13258
606	20425	13224
607	20456	13189
608	20490	13155
609	20524	13122
610	20560	13090
611	20600	13060
612	20632	13025
613	20665	12991
614	20697	12956
615	20728	12921
616	20759	12886
617	20794	12853
618	20831	12822
619	20865	12788
620	20899	12755
621	20931	12720
622	20966	12687
623	21002	12655
624	21033	12620
625	21065	12585
626	21098	12551
627	21133	12518
628	21168	12485
629	21207	12455
630	21244	12423
631	21277	12389
632	21306	12353
633	21339	12319
634	21374	12286
635	21404	12250
636	21439	12217
637	21472	12183
638	21506	12149
639	21542	12117
640	21576	12084
641	21611	12051
642	21625	12006
643	21659	11973
644	21691	11938
645	21726	11905
646	21758	11871
647	21796	11840
648	21830	11806
649	21862	11771
650	21894	11737
651	21927	11703
652	21956	11667
653	21991	11634
654	22022	11599
655	22054	11565
656	22087	11530
657	22120	11497
658	22148	11460
659	22182	11427
660	22214	11392
661	22254	11362
662	22282	11325
663	22319	11294
664	22350	11259
665	22384	11225
666	22414	11190
667	22449	11157
668	22486	11125
669	22518	11091
670	22550	11056
671	22579	11020
672	22609	10985
673	22646	10953
674	22681	10920
675	22714	10887
676	22748	10853
677	22782	10819
678	22811	10784
679	22846	10751
680	22879	10717
681	22920	10687
682	22951	10652
683	22983	10618
684	23017	10584
685	23049	10550
686	23084	10517
687	23116	10482
688	23148	10448
689	23181	10414
690	23212	10379
691	23244	10346
692	23280	10313
693	23310	10278
694	23338	10242
695	23373	10209
696	23409	10176
697	23442	10142
698	23476	10109
699	23512	10076
700	23549	10044
701	23587	10012
702	23621	9979
703	23657	9946
704	23689	9912
705	23723	9879
706	23757	9845
707	23800	9815
708	23853	9790
709	23893	9759
710	23934	9728
711	23973	9697
712	24010	9664
713	24044	9631
714	24075	9596
715	24109	9562
716	24142	9529
717	24177	9495
718	24212	9462
719	24244	9428
720	24276	9393
721	24307	9359
722	24337	9324
723	24372	9291
724	24405	9257
725	24443	9225
726	24475	9191
727	24507	9156
728	24538	9122
729	24571	9087
730	24607	9055
731	24646	9023
732	24682	8990
733	24716	8957
734	24748	8922
735	24780	8888
736	24814	8855
737	24852	8823
738	24886	8789
739	24917	8754
740	24948	8720
741	24981	8686
742	25014	8652
743	25049	8619
744	25081	8584
745	25114	8551
746	25147	8517
747	25179	8483
748	25214	8449
749	25248	8416
750	25281	8382
751	25314	8348
752	25346	8314
753	25378	8280
754	25410	8245
755	25446	8212
756	25477	8178
757	25511	8144
758	25540	8109
759	25572	8075
760	25608	8042
761	25639	8008
762	25671	7974
763	25707	7940
764	25739	7906
765	25775	7873
766	25806	7839
767	25837	7805
768	25868	7770
769	25907	7738
770	25944	7706
771	25981	7673
772	26016	7640
773	26050	7606
774	26084	7572
