iter	RMSE
0	423.215918
1	364.1868203
2	332.0965815
3	315.5514905
4	302.8144864
5	295.794906
6	289.3031843
7	284.8122555
8	278.7035623
9	276.7894423
10	270.4376791
11	262.8497397
12	256.6755592
13	252.1416805
14	245.90642
15	241.9695168
16	235.8105088
17	231.2956099
18	229.4661083
19	227.1062806
20	224.9670368
21	224.3058132
22	223.8027342
23	218.8699358
24	214.097132
25	209.3396286
26	208.8240635
27	205.4920829
28	202.2978687
29	201.8151536
30	200.681011
31	195.9977188
32	191.9908047
33	190.1017068
34	187.3157429
35	184.2119545
36	179.4120974
37	177.5254481
38	175.1792408
39	172.4480146
40	171.0181334
41	167.0810336
42	165.4470932
43	164.3911023
44	162.8009817
45	162.3956386
46	160.1820023
47	159.8222702
48	156.9867398
49	153.4101521
50	151.9068062
51	149.7942064
52	147.3264295
53	146.2757841
54	143.4786643
55	140.6008311
56	138.2080577
57	136.794289
58	136.7335312
59	134.2276914
60	132.7239805
61	132.5677335
62	130.6047378
63	130.5753463
64	129.0086929
65	128.7364492
66	127.1660517
67	126.489764
68	126.4748142
69	125.8625174
70	121.947648
71	120.1190684
72	118.1860719
73	117.0037039
74	116.8567794
75	115.1403867
76	115.0089445
77	114.5400973
78	113.0526666
79	111.404649
80	109.85423
81	108.5624947
82	106.5665604
83	105.3089232
84	105.2868967
85	104.0273356
86	103.6802367
87	102.3899873
88	102.2680142
89	100.8607955
90	99.73312555
91	99.5837146
92	98.49946862
93	97.56837382
94	96.62517914
95	95.41514666
96	94.5309768
97	93.77845483
98	93.32391331
99	91.96610991
100	90.89734983
101	90.20900258
102	89.27600953
103	88.103087
104	87.15553134
105	85.60467115
106	83.80748934
107	82.85139847
108	81.64687369
109	80.25414125
110	80.24486295
111	78.68235709
112	78.02489147
113	76.99456688
114	75.83356602
115	75.177098
116	75.1672613
117	75.16038936
118	74.3308223
119	73.82684081
120	73.62584092
121	72.808603
122	72.20864392
123	71.5481273
124	70.98016733
125	70.41840332
126	69.78434463
127	69.48026266
128	68.28432441
129	67.64879203
130	66.97709881
131	66.09394465
132	65.2292233
133	64.21532253
134	64.03643222
135	62.90967524
136	62.31313083
137	61.39900653
138	60.65735366
139	59.75392477
140	58.94889827
141	58.4114037
142	57.93546181
143	57.80273591
144	57.00663621
145	56.66070895
146	56.1261775
147	55.68079038
148	55.07131149
149	54.53131968
150	53.93617781
151	53.31917711
152	52.44314705
153	51.77024507
154	51.49588289
155	51.06332399
156	50.56273235
157	49.82978934
158	49.44022571
159	48.75305882
160	48.19095581
161	47.63117674
162	47.49380873
163	47.12773143
164	46.42655997
165	46.04084477
166	45.94481374
167	45.13412999
168	44.97015246
169	44.6740982
170	44.10204848
171	43.54712449
172	43.06849809
173	42.55430597
174	42.16093365
175	41.81657035
176	41.2871555
177	40.75500511
178	40.48063865
179	39.98219364
180	39.50661414
181	39.1987389
182	38.78888263
183	38.40387434
184	38.21373034
185	37.851131
186	37.68323292
187	37.4347226
188	36.8629379
189	36.50414793
190	36.0893931
191	35.63377845
192	35.37225423
193	35.14223765
194	34.92279563
195	34.48257802
196	34.24905376
197	34.01257062
198	33.60183215
199	33.37121014
200	33.10227314
201	32.83081603
202	32.48519842
203	32.13305979
204	32.03710042
205	31.94264042
206	31.60665476
207	31.20768587
208	30.86862291
209	30.5624554
210	30.31352367
211	29.94595416
212	29.84452855
213	29.70974851
214	29.62344252
215	29.36252961
216	29.34638607
217	29.27000386
218	29.13659568
219	28.92759634
220	28.84563285
221	28.55218249
222	28.5116809
223	28.37378671
224	28.05888771
225	27.80691713
226	27.62240409
227	27.39529456
228	27.10342395
229	26.82127559
230	26.59286984
231	26.33780184
232	26.08582048
233	25.94028212
234	25.62319449
235	25.62064044
236	25.51861544
237	25.32468993
238	25.07296425
239	24.87161129
240	24.74447464
241	24.55810702
242	24.39938208
243	24.39512759
244	24.07733518
245	23.89825042
246	23.70389186
247	23.42330081
248	23.16273714
249	22.79599854
250	22.40427868
251	22.22895476
252	22.05138093
253	21.96662106
254	21.67351884
255	21.55314422
256	21.52156961
257	21.51517996
258	21.37635344
259	21.28958356
260	21.1536148
261	20.92904703
262	20.75705611
263	20.754675
264	20.67685115
265	20.60275136
266	20.46349712
267	20.18381673
268	20.06751186
269	19.9440141
270	19.79351886
271	19.63420126
272	19.53621199
273	19.34429346
274	19.22896928
275	19.02839932
276	18.7373046
277	18.53608291
278	18.38807813
279	18.33047997
280	18.08187606
281	17.96281336
282	17.78518328
283	17.60417775
284	17.4451131
285	17.44038699
286	17.27045551
287	17.17214124
288	17.0617872
289	16.96201536
290	16.76273671
291	16.60305518
292	16.4648639
293	16.3822793
294	16.33784863
295	16.19759807
296	16.06123963
297	15.93569265
298	15.77743864
299	15.74739477
300	15.63978882
301	15.4451582
302	15.39739442
303	15.26895822
304	15.21303287
305	15.11795925
306	14.92187534
307	14.79934609
308	14.75532827
309	14.5659996
310	14.4777281
311	14.44141008
312	14.44000548
313	14.41688851
314	14.2923433
315	14.19632588
316	14.11374173
317	14.04541858
318	13.87348161
319	13.78061671
320	13.63710948
321	13.6186634
322	13.53334872
323	13.53249068
324	13.46107505
325	13.43189867
326	13.41056582
327	13.30072687
328	13.18390629
329	13.12567253
330	12.96792013
331	12.96211746
332	12.903601
333	12.81438781
334	12.72654746
335	12.72582561
336	12.50603773
337	12.41716488
338	12.31870723
339	12.17022236
340	12.07683211
341	11.96064187
342	11.8532728
343	11.77699404
344	11.74486823
345	11.59298362
346	11.50141932
347	11.46160149
348	11.41954132
349	11.34043596
350	11.31402311
351	11.26199366
352	11.17076572
353	11.07394678
354	11.03820634
355	10.95877804
356	10.88433328
357	10.8315593
358	10.74025146
359	10.69044677
360	10.60600034
361	10.53577987
362	10.51392713
363	10.39987977
364	10.30529422
365	10.26071333
366	10.17776665
367	10.09297601
368	10.0049875
369	9.95236333
370	9.903883984
371	9.806754919
372	9.718742841
373	9.651576658
374	9.518875733
375	9.403923823
376	9.355749663
377	9.266664939
378	9.200177738
379	9.083874528
380	9.010740854
381	8.965685172
382	8.89987627
383	8.89608161
384	8.889297116
385	8.842259337
386	8.782618578
387	8.757895349
388	8.664278392
389	8.612257516
390	8.599501263
391	8.5894945
392	8.519347173
393	8.452980865
394	8.380549078
395	8.334706733
396	8.289928543
397	8.17467109
398	8.1438721
399	8.141648238
400	8.037465142
401	7.997202882
402	7.942754613
403	7.844962652
